# topologyType=                  grid
# topologyDegree=                
# linkDatarateBps=               10000000000
# linkDelayUs=                   100
# activateFailure=               1
# activatePhyFailDetect=         1
# linkFailureTimeUs=             3000000
# stpMode=                       5
# randomBridgeIds=               1
# xstpSimulationTimeSecs=        50
# xstpActivatePeriodicalBpdus=   1
# xstpActivateExpirationMaxAge=  1
# xstpActivateIncreaseMessAge=   1
# xstpMaxAge=                    20
# xstpHelloTime=                 2
# xstpForwDelay=                 15
# xstpResetTxHoldPeriod=         1
# activateRandBridgeInit=        0

# Id:  Execution Id
# Nod: Number of nodes
# FlA: Node A to fail
# FlB: Node B to fail
# FrR: Node forced as root (bridge id set to 0)
# Prt: Number of ports (square of the number of links)
# HlP: TxHold period
# HlC: Maximum Number of BPDUs to be send per TxHold period
# Snd: Total Send BPDUs
# Hld: Hold BPDUs that had to be sent
# Rcv: Total Received BPDUs
# Cnf: Total Received BPDUconfs
# RBD: Better BPDU received (from Designated in RSTP)
# RWD: Worse BPDU received (from Designated in RSTP)
# RED: Equal BPDU received (from Designated in RSTP)
# RDA: Discrded agreement because it is about a different Root
# RWA: Equal BPDU with Agreement received (only RSTP, from Root/Alternate)
# ACT1: Algorithm convergence Time (STP: last better BPDU) (RSTP: last better BPDU or last agreement) before failure
# PCT1: Protocol convergence time (last port transition to forwarding) before failure
# Fai: Time when link fails
# Snd: Total Send BPDUs (after failure)
# Hld: Hold BPDUs that had to be sent (after failure)
# Rcv: Total Received BPDUs (after failure)
# Cnf: Total Received BPDUconfs (after failure)
# RBD: Better BPDU received from Designated (after failure)
# RWD: Worse BPDU received from Designated (after failure)
# RED: Equal BPDU received from Designated (after failure)
# RDA: Discrded agreement because it is about a different Root (after failure)
# RWA: Equal BPDU with Agreement received from Root/Alternate (after failure)
# MAf: First expiration of Message Age
# MAl: Last expiration of Message Age
# ACT2: Algorithm convergence Time (RSTP: last better BPDU or last agreement) after last mess age expiration
# PCT2: Protocol convergence time (last port transition to forwarding) after last mess age expiration
# ACT3: Algorithm convergence Time (RSTP: last better BPDU or last agreement) after failure
# PCT3: Protocol convergence time (last port transition to forwarding) after failure

#Id	Nod	FlA	FlB	FrR	Prt	HlP	HlC	Snd	Hld	Rcv	Cnf	RBD	RWD	RED	RWA	RDA	ACT1	PCT1	Fai	Snd	Hld	Rcv	Cnf	RBD	RWD	RED	RWA	RDA	MAf	MAl	ACT2	PCT2	ACT3	PCT3
 0	25	 0	-1	 0	80	1	1000000	657	 0	656	 0	109	240	187	79	41	0.0008	0.0009	3.0	545	 0	542	106	104	170	153	83	32	0.0000	0.0000	0.0000	0.0000	0.0012	0.0013
 0	25	 1	-1	 1	80	1	1000000	561	 0	560	 0	88	212	159	79	22	0.0007	0.0008	3.0	488	 0	483	153	74	191	138	55	25	0.0000	0.0000	0.0000	0.0000	0.0010	0.0011
 0	25	 2	-1	 2	80	1	1000000	526	 0	524	 0	88	190	150	58	38	0.0006	0.0007	3.0	430	 0	426	153	74	149	121	46	36	0.0000	0.0000	0.0000	0.0000	0.0009	0.0010
 0	25	 3	-1	 3	80	1	1000000	572	 0	571	 0	89	219	166	62	35	0.0007	0.0008	3.0	480	 0	476	153	79	165	141	69	22	0.0000	0.0000	0.0000	0.0000	0.0012	0.0013
 0	25	 4	-1	 4	80	1	1000000	587	 0	586	 0	99	205	171	81	30	0.0008	0.0009	3.0	506	 0	503	106	95	164	137	58	49	0.0000	0.0000	0.0000	0.0000	0.0009	0.0010
 0	25	 5	-1	 5	80	1	1000000	625	 0	624	 0	99	233	178	66	48	0.0007	0.0008	3.0	591	 0	580	153	86	247	153	60	34	0.0000	0.0000	0.0000	0.0000	0.0010	0.0011
 0	25	 6	-1	 6	80	1	1000000	517	 0	516	 0	93	176	144	50	53	0.0006	0.0007	3.0	525	 0	518	196	97	169	140	70	42	0.0000	0.0000	0.0000	0.0000	0.0011	0.0012
 0	25	 7	-1	 7	80	1	1000000	506	 0	503	 0	82	194	140	54	33	0.0005	0.0006	3.0	532	 0	525	196	101	165	144	89	26	0.0000	0.0000	0.0000	0.0000	0.0014	0.0015
 0	25	 8	-1	 8	80	1	1000000	580	 0	578	 0	105	194	158	56	65	0.0006	0.0007	3.0	379	 0	371	196	61	133	109	50	18	0.0000	0.0000	0.0000	0.0000	0.0009	0.0010
 0	25	 9	-1	 9	80	1	1000000	643	 0	642	 0	106	233	186	66	51	0.0007	0.0008	3.0	533	 0	523	153	78	217	143	58	27	0.0000	0.0000	0.0000	0.0000	0.0010	0.0011
 0	25	10	-1	10	80	1	1000000	575	 0	573	 0	84	230	165	71	23	0.0006	0.0007	3.0	611	 0	607	153	105	221	164	73	44	0.0000	0.0000	0.0000	0.0000	0.0013	0.0014
 0	25	11	-1	11	80	1	1000000	597	 0	593	 0	94	230	163	62	44	0.0005	0.0006	3.0	609	 0	602	196	100	228	163	79	32	0.0000	0.0000	0.0000	0.0000	0.0014	0.0015
 0	25	12	-1	12	80	1	1000000	552	 0	540	 0	95	195	145	61	44	0.0004	0.0005	3.0	439	 0	432	196	72	163	117	57	23	0.0000	0.0000	0.0000	0.0000	0.0009	0.0010
 0	25	13	-1	13	80	1	1000000	497	 0	495	 0	84	180	139	60	32	0.0005	0.0006	3.0	481	 0	472	196	89	164	121	61	37	0.0000	0.0000	0.0000	0.0000	0.0010	0.0011
 0	25	14	-1	14	80	1	1000000	607	 0	605	 0	104	215	170	79	37	0.0006	0.0007	3.0	525	 0	521	153	93	186	142	54	46	0.0000	0.0000	0.0000	0.0000	0.0011	0.0012
 0	25	15	-1	15	80	1	1000000	567	 0	566	 0	96	201	164	70	35	0.0007	0.0008	3.0	521	 0	517	153	92	183	138	74	30	0.0000	0.0000	0.0000	0.0000	0.0012	0.0013
 0	25	16	-1	16	80	1	1000000	533	 0	532	 0	93	189	148	65	37	0.0006	0.0007	3.0	432	 0	422	196	77	144	114	52	35	0.0000	0.0000	0.0000	0.0000	0.0009	0.0010
 0	25	17	-1	17	80	1	1000000	524	 0	522	 0	89	187	144	67	35	0.0005	0.0006	3.0	550	 0	541	196	113	165	137	75	51	0.0000	0.0000	0.0000	0.0000	0.0012	0.0013
 0	25	18	-1	18	80	1	1000000	592	 0	591	 0	108	197	168	60	58	0.0006	0.0007	3.0	412	 0	403	196	66	150	113	48	26	0.0000	0.0000	0.0000	0.0000	0.0009	0.0010
 0	25	19	-1	19	80	1	1000000	620	 0	619	 0	97	238	177	79	28	0.0007	0.0008	3.0	547	 0	543	153	96	194	155	70	28	0.0000	0.0000	0.0000	0.0000	0.0012	0.0013
